dataset_title,file_type
Importe de crédito por medio de disposición (credito en efectivo o tarjeta).,CSV
Centros de trabajo registrados en micrositio por sectores.,CSV
Centros de trabajo registrados en micrositio por rango de trabajadores y entidad federativa del apartado A,CSV
Nuevos trabajadores registrados,CSV
Trabajadores con crédito ejercido por género y entidad federativa,CSV
Trabajadores con crédito ejercido por rango salarial y entidad federativa,Topaz Banking_ ORACLE 
Importe de créditos ejercidos por género y entidad federativa,CSV
Plan de Apertura Institucional de FONACOT,CSV
Inventario Institucional de Datos de FONACOT de FONACOT creado el 2016-01-26 22:45,XLSX
Oficios y Documentos Institucionales de FONACOT,JSON
Calendario de Cruceros (Proyección),CSV
Participación Ciudadana,ZIP
Estados Financieros Dictaminados Anualmente,CSV
"Estadísticas Generales del Puerto de Ensenada, Costa Azul y El Sauzal",CSV
"Certificados de conformidad vigentes, cancelados y en pruebas de las Normas Oficiales Mexicanas",vnd.ms-excel
Proceso anual de leyendas para incentivar el uso eficiente de la energía (Archivo excel) Direcc,vnd.ms-excel
Proyecto Nacional de Eficiencia Energetica en Alumbrado Público Municipal,vnd.ms-excel
Municipios participantes en el Proyecto Nacional de Eficiencia Energética en Alumbrado Público,vnd.ms-excel
"Certificados de conformidad vigentes, cancelados y en pruebas, de las NOMs  de EE Iluminación",vnd.ms-excel
Proceso Anual de leyendas para incentivar el uso eficiente de energía y sus beneficios,vnd.ms-excel
Catalogo de Rendimiento de Combustible 2022,PDF
Inventario Institucional de Datos de CONUEE,CSV
Oficios y Documentos Institucionales de CONUEE,JSON
Catálogo de rendimientos de combustibles 2014,XLS
Municipios participantes en el Proyecto Nacional de Eficiencia Energética en Alumbrado Público Municipal,XLS
Catálogo de rendimientos de combustibles 2015,XLS
Plan de Apertura Institucional de CONUEE,CSV
"Cantidad de mujeres que asistió voluntariamente a las sesiones de adiestramiento, en los Centros de Adiestramiento del Servicio Militar Nacional a ...",XLSX
"Cantidad de mujeres que asistió voluntariamente a las sesiones de adiestramiento, en los Centros de Adiestramiento del Servicio Militar Nacional a ...",XLS
"Cantidad de mujeres que asistió voluntariamente a las sesiones de adiestramiento, en los Centros de Adiestramiento del Servicio Militar Nacional a ...",vnd.ms-excel
Obras ejecutadas para beneficio de la Secretaría de la Defensa Nacional,XLSX
Obras ejecutadas para beneficio de la Secretaría de la Defensa Nacional,vnd.ms-excel
Recomendaciones,XLSX
Recomendaciones,vnd.ms-excel
Recomendaciones,XLS
Adquisiciones (contratos),XLSX
Adquisiciones (contratos),vnd.ms-excel
Adquisiciones (contratos),XLS
Cantidad de derechohabientes beneficiados por el programa integral de becas para hijos de militares en el activo,XLSX
Cantidad de derechohabientes beneficiados por el programa integral de becas para hijos de militares en el activo,vnd.ms-excel
Resultados de las operaciones en atención al Narcotráfico,XLSX
Resultados de las operaciones en atención al Narcotráfico,XLS
Recompensas que otorga el Ejercito y Fuerza Aérea Mexicanos,XLSX
Recompensas que otorga el Ejercito y Fuerza Aérea Mexicanos,vnd.ms-excel
Recompensas que otorga el Ejercito y Fuerza Aérea Mexicanos,XLS
Armas registradas por diferentes motivos,XLSX
Armas registradas por diferentes motivos,XLS
Armas registradas por diferentes motivos,vnd.ms-excel
Promoción Superior,XLSX
Promoción Superior,XLS
Promoción Superior,vnd.ms-excel
"Licencias particulares individuales de portación de armas de fuego vigentes, por entidad federativa",XLSX
"Licencias particulares individuales de portación de armas de fuego vigentes, por entidad federativa",XLS
"Licencias particulares individuales de portación de armas de fuego vigentes, por entidad federativa",vnd.ms-excel
Analisis de imágenes satelitales,XLSX
Analisis de imágenes satelitales,vnd.ms-excel
Analisis de imágenes satelitales,XLS
Personal que liberó su Cartilla de Identidad del Servicio Militar Nacional,XLSX
Personal que liberó su Cartilla de Identidad del Servicio Militar Nacional,vnd.ms-excel
Requisitos para realizar trámites relacionados con la cartilla de identidad del servicio militar nacional,PDF
Requisitos para causar alta en el ejército y fuerza aérea mexicanos,PDF
Campaña de canje de armas de fuego,XLSX
Campaña de canje de armas de fuego,PDF
Campaña de canje de armas de fuego,XLS
Leyes y reglamentos militares,word
Número de auditorías,vnd.ms-excel
Número de auditorías,XLS
Número de auditorías,XLSX
Promoción General,XLSX
Promoción General,vnd.ms-excel
Promoción General,XLS
Inventario Institucional de Datos de SEDENA,XLS
Carta General de la República Mexicana,RAR
Carta General de la República Mexicana,ArcGis
Oficios y Documentos Institucionales de SEDENA,JSON
Plan de Apertura Institucional de CENACE,CSV
Mercado de Energía de Corto Plazo (MECP),CSV
Precios de Energía del Mercado de Corto Plazo.,CSV
Precios de Nodos Distribuidos,CSV
Información Programática.,vnd.ms-excel
Información Programática.,CSV
Consumo Mensual Bruto del Sistema Eléctrico Nacional.,PDF
Consumo Mensual Bruto del Sistema Eléctrico Nacional.,CSV
Oficios y Documentos Institucionales de CENACE,PDF
Inventario Institucional de Datos de CENACE,vnd.ms-excel
Corte a diciembre 2021. Beneficiarios del Programa Producción para el Bienestar OI 2020/2021,CSV
Anexos del Sistema de Rendición de Cuentas 2022,No Format.
Corte a diciembre 2021. Beneficiarios del Programa Producción para el Bienestar PV 2021.,CSV
"8 Listado de beneficiarios del Programa Fertilizante del Ejercicio Fiscal 2021, corte 17 ene 22",CSV
"7 Listado de beneficiarios del Programa de Fertilizantes del año 2021, corte 8 de nov- 2021",CSV
Corte a septiembre 2021. Beneficiarios del Programa Producción para el Bienestar OI 2020/2021,CSV
Corte a septiembre 2021. Beneficiarios del Programa Producción para el Bienestar PV 2021.,CSV
Corte a agosto 2021. Beneficiarios del Programa Producción para el Bienestar OI 2020/2021,CSV
Corte a julio 2021. Beneficiarios del Programa Producción para el Bienestar OI 2020/2021,CSV
Corte a agosto 2021. Beneficiarios del Programa Producción para el Bienestar PV 2021.,CSV
Corte a julio 2021. Beneficiarios del Programa Producción para el Bienestar PV 2021.,CSV
"5 Listado de beneficiarios del Programa Fertilizante del Ejercicio Fiscal 2021, corte 5-08-21",CSV
"6 Listado de Beneficiarios del Programa de Fertilizantes del año 2021, corte 20-sep-2021",CSV
Proyecto Estratégico para la Recuperación Productiva Agrícola Tierra Caliente 2022.,vnd.ms-excel
"Programa de Fomento a la Agricultura, Ganadería, Pesca y Acuicultura 2022, San Luis Potosí.",vnd.ms-excel
Corte a diciembre 2022. Beneficiarios del Programa Producción para el Bienestar 2022.,CSV
Proyecto Estratégico Aplicación del Modelo de Transferencia de Tecnología 2022 (CSAEGRO).,vnd.ms-excel
Proyecto Estratégico Establecimiento de Parcelas de Nopal Forrajero 2022.,vnd.ms-excel
Corte a octubre 2022. Beneficiarios del Programa Producción para el Bienestar 2022.,CSV
"Programa de Fomento a la Agricultura, Ganadería, Pesca y Acuicultura 2022, Comp-Fomen-Ganadería",CSV
Proyecto Estratégico Recuperación Productiva de Chile Yahualica 2022.,CSV
